Value,Category,Synthetic_data
 набор деталей для ремонта фильтра АКПП с сальниками,набор деталей,True
Комплект фильтров для камеры,набор деталей,True
 Набор фильтров для объектива,набор деталей,True
Комплект для замены масла: 4 литра + фильтр + кольцо,набор деталей,True
 Набор для смены масла: 4 литра + фильтр + уплотнительное кольцо.,набор деталей,True
 Набор фильтрующих элементов,набор деталей,True
 Комплект фильтров,набор деталей,True
Комплект фильтров колесного тормоза,набор деталей,True
 Набор фильтров для колесных тормозов,набор деталей,True
Прокладки для адаптера масляного фильтра,набор деталей,True
" набор фильтров (воздушного, масляного, салонного)",набор деталей,True
Комплект фильтров кондиционера,набор деталей,True
 Набор фильтров для кондиционера,набор деталей,True
фильтр воздушный набор,набор деталей,True
 комплект фильтров воздушных,набор деталей,True
фильтр салона набор,набор деталей,True
 комплект фильтров салона,набор деталей,True
набор фильтрующих картриджей,набор деталей,True
 фильтрующий комплект,набор деталей,True
Комплект картриджей фильтров,набор деталей,True
 набор фильтрующих элементов.,набор деталей,True
набор фильтров,набор деталей,True
 комплект фильтров,набор деталей,True
 Комплект для ремонта топливного фильтра с регулятором,набор деталей,True
Комплект фильтра масляного,набор деталей,True
 набор фильтра масляного,набор деталей,True
Охладитель радиатор масляный в комплекте с фильтром из бумаги,набор деталей,True
 Охладитель радиатор масляный с фильтром из бумаги.,набор деталей,True
Комплект сетчатого фильтра,набор деталей,True
 набор сетчатого фильтра,набор деталей,True
 гарантийный комплект ферритового фильтра,набор деталей,True
 Масляный фильтр и охлаждающее устройство,набор деталей,True
 фильтрующие элементы салона,набор деталей,True
" Корпус фильтра воздушного верхняя и нижняя часть 1.8, 2.0",набор деталей,True
Комплект прокладок фильтра очистки топлива,набор деталей,True
 набор деталей для фильтрации топлива.,набор деталей,True
Комплект прокладок для топливного фильтра,набор деталей,True
 набор прокладок для топливного фильтра.,набор деталей,True
Поддон автоматической коробки передач и фильтр,набор деталей,True
Комплект фильтра автоматической коробки передач,набор деталей,True
 набор деталей для фильтра АКПП,набор деталей,True
Комплект прокладок корпуса масляного фильтра,набор деталей,True
Ремонтный комплект фильтра масла автоматической коробки передач,набор деталей,True
 Набор деталей для ремонта масляного фильтра АКПП,набор деталей,True
Комплект фильтров для воздуха,набор деталей,True
 Набор воздушных фильтров,набор деталей,True
 набор гидрофильтров,набор деталей,True
 фильтр и комплектующие,набор деталей,True
Топливный насос с фильтром,другая деталь,True
Насос с фильтром,другая деталь,True
Нейтрализатор с сажевым фильтром и средним глушителем,другая деталь,True
 нейтрализатор с сажевым фильтром и глушителем средней величины,другая деталь,True
 нейтрализатор с глушителем средних размеров и сажевым фильтром.,другая деталь,True
 масляный радиатор с фильтром,другая деталь,True
 масляный радиатор с фильтрующим элементом,другая деталь,True
 масляный радиатор с фильтрующей вставкой,другая деталь,True
 масляный радиатор с фильтровальным элементом,другая деталь,True
 труба выпуска отработавших газов с сажевым фильтром и адсорбером.,другая деталь,True
Поддон автоматической коробки передач с фильтром в сборе,другая деталь,True
Поддон АКПП с фильтрующим элементом в сборе,другая деталь,True
Поддон коробки-автомат с фильтром в сборе,другая деталь,True
Поддон автоматической трансмиссии с фильтром в сборе,другая деталь,True
Поддон АКПП с фильтром в комплекте.,другая деталь,True
 Бак топливный в сборе с приемной трубкой с фильтровальным элементом,другая деталь,True
 Бак топливный в сборе с приемной трубкой с фильтрующим элементом,другая деталь,True
 Бак топливный в сборе с приемной трубкой с системой фильтрации.,другая деталь,True
труба отработавших газов с сажевым фильтром,другая деталь,True
Поддон автоматической коробки передач с фильтром,другая деталь,True
Поддон трансмиссии с фильтром,другая деталь,True
Поддон КПП с фильтром,другая деталь,True
Поддон коробки-автомат с фильтром,другая деталь,True
Поддон АКП с фильтром.,другая деталь,True
Масляный поддон с фильтром,другая деталь,True
 Масляный поддон с системой фильтрации,другая деталь,True
 Масляный поддон с фильтрующим элементом.,другая деталь,True
Усилитель привода с воздушным фильтром,другая деталь,True
Усилитель передачи с воздушным фильтром,другая деталь,True
Усилитель тяги с воздушным фильтром,другая деталь,True
Усилитель мощности с воздушным фильтром,другая деталь,True
Усилитель крутящего момента с воздушным фильтром.,другая деталь,True
Топливопровод с фильтром,другая деталь,True
 топливный провод с фильтром,другая деталь,True
 топливопровод с фильтрующим элементом.,другая деталь,True
 Топливный насос с фильтрующим элементом,другая деталь,True
 Масляный поддон с маслофильтром,другая деталь,True
Бензонасос TOYOTA в сборе с фильтрующим элементом,другая деталь,True
Бензонасос TOYOTA в сборе с системой фильтрации,другая деталь,True
Бензонасос TOYOTA в сборе с фильтрационной установкой.,другая деталь,True
Фланец топливного насоса с фильтром,другая деталь,True
Фланец топливного насоса с фильтрующим элементом,другая деталь,True
 крышка вентилятора с фильтрующим элементом,другая деталь,True
 крышка вентилятора с фильтрующей вставкой,другая деталь,True
 крышка вентилятора с фильтрационной системой.,другая деталь,True
Фланец с фильтром,другая деталь,True
 фильтровочный узел.,другая деталь,True
Бачок гидроусилителя руля BMW с фильтром,другая деталь,True
 Бачок гидроусилителя руля BMW с фильтрующим элементом,другая деталь,True
 Бачок гидроусилителя руля BMW с фильтрующей вставкой,другая деталь,True
 Бачок гидроусилителя руля BMW с фильтрационной системой.,другая деталь,True
Бачок гидроусилителя с фильтром,другая деталь,True
 Бачок ГУР с фильтрующим элементом,другая деталь,True
 Бачок гидроусилителя с фильтрующей вставкой,другая деталь,True
 Бачок ГУР с фильтрационной системой.,другая деталь,True
Фланец с топливным фильтром,другая деталь,True
Фланец с фильтром для топлива,другая деталь,True
Фланец с фильтрующим элементом для топлива,другая деталь,True
Фланец с фильтрацией топлива,другая деталь,True
Пустотелый болт с фильтром,другая деталь,True
Пустотелый болт с фильтрующим элементом,другая деталь,True
Пустотелый болт с фильтрующей вставкой,другая деталь,True
Пустотелый болт с фильтрующим устройством,другая деталь,True
Пустотелый болт с фильтровальным элементом.,другая деталь,True
Масляный картер с фильтром масла,другая деталь,True
Картер с масляным фильтром,другая деталь,True
Картер с фильтром масла,другая деталь,True
Картер с фильтром для масла.,другая деталь,True
Стакан насоса подкачки с фильтром,другая деталь,True
 стакан насоса подкачки с фильтрующим элементом,другая деталь,True
 стакан насоса подкачки с системой фильтрации,другая деталь,True
 стакан насоса подкачки с фильтрационным элементом.,другая деталь,True
картер масляный с фильтром автоматической коробки передач,другая деталь,True
картер масляный с фильтром коробки-автомат,другая деталь,True
картер масляный с фильтром для акпп,другая деталь,True
картер масляный с фильтром для автоматической коробки передач,другая деталь,True
картер масляный с фильтром для автомата.,другая деталь,True
Фланец с топливным фильтром левый,другая деталь,True
 Фланец с фильтром для топлива левый,другая деталь,True
 Фланец с левосторонним топливным фильтром,другая деталь,True
 Фланец с левосторонним фильтром для топлива,другая деталь,True
 Фланец с левосторонним топливным фильтром для автомобилей,другая деталь,True
Мотор бензонасоса с фильтром,другая деталь,True
 Мотор бензонасоса с фильтрующим элементом,другая деталь,True
насос подкачки ручной с фильтром,другая деталь,True
 насос подкачки ручной с фильтрующим элементом,другая деталь,True
 насос подкачки ручной с системой фильтрации,другая деталь,True
 насос подкачки ручной с фильтрующей установкой.,другая деталь,True
 блок подачи с фильтром,другая деталь,True
 модуль с фильтром.,другая деталь,True
Насос подкачки с фильтром,другая деталь,True
 насос подкачки с фильтрующим элементом,другая деталь,True
 насос подкачки с фильтрующей системой,другая деталь,True
 насос подкачки с системой фильтрации.,другая деталь,True
 Радиатор масляный в сборе с фильтрующим элементом,другая деталь,True
 Радиатор масляный в сборе с фильтровальным элементом,другая деталь,True
 Радиатор масляный в сборе с маслофильтром.,другая деталь,True
Насос топливный с фильтром-сеткой,другая деталь,True
 Насос топливный с фильтром,другая деталь,True
 Насос топливный с сетчатым фильтром,другая деталь,True
 Насос топливный с фильтром грубой очистки,другая деталь,True
 Насос топливный с фильтром-сеткой грубой очистки.,другая деталь,True
Бензонасос с фильтром,другая деталь,True
 бензонасос с фильтрующим элементом,другая деталь,True
Поддон масляный картера коробки передач с фильтром,другая деталь,True
Поддон масляный картера кпп с маслофильтром,другая деталь,True
Поддон масляный картера кпп с системой фильтрации,другая деталь,True
Поддон масляный картера кпп с элементом фильтрации.,другая деталь,True
Поддон масляный картера КПП с фильтром,другая деталь,True
Поддон АКПП с фильтром,другая деталь,True
Поддон АКПП с фильтром и прокладкой,другая деталь,True
Поддон коробки-автомат с фильтром и прокладкой,другая деталь,True
Поддон автоматической коробки передач с фильтром и прокладкой,другая деталь,True
Поддон трансмиссии с фильтром и прокладкой,другая деталь,True
Поддон КПП с фильтром и прокладкой.,другая деталь,True
Насос топливный с фильтром,другая деталь,True
 Насос топливный с фильтрующим элементом,другая деталь,True
 Насос топливный с фильтрационным устройством.,другая деталь,True
Насос топливный электрический с фильтром,другая деталь,True
 Насос топливный электрический с фильтрующим элементом,другая деталь,True
 Насос топливный электрический с системой фильтрации,другая деталь,True
 Насос топливный электрический с фильтрующей вставкой.,другая деталь,True
 насос с фильтрующим элементом,другая деталь,True
 насос с системой фильтрации,другая деталь,True
 насос с фильтрационной установкой.,другая деталь,True
Штуцер вакуумного шланга с фильтром,другая деталь,True
Штуцер вакуумного шланга с фильтрующим элементом,другая деталь,True
Штуцер вакуумного шланга с фильтрующей вставкой,другая деталь,True
Штуцер вакуумного шланга с фильтрационной системой.,другая деталь,True
Поддон АКПП с фильтром BMW,другая деталь,True
 поддон автоматической коробки передач с фильтром BMW,другая деталь,True
 поддон коробки-автомат с фильтром BMW,другая деталь,True
 поддон трансмиссии с фильтром BMW,другая деталь,True
 поддон авто с фильтром BMW.,другая деталь,True
Масляный насос с масляным фильтром,другая деталь,True
 Масляный насос с фильтром масла,другая деталь,True
 Масляный насос с фильтром для масла,другая деталь,True
Блок подачи с фильтром,другая деталь,True
 Блок с фильтрующим элементом,другая деталь,True
расширительный бачок с фильтром,другая деталь,True
 расширительный бачок с угольным фильтром,другая деталь,True
 расширительный бачок с фильтром из активированного угля,другая деталь,True
 расширительный бачок с фильтром на основе активированного угля,другая деталь,True
Поддон масляный АКПП со встроенным фильтром,другая деталь,True
Поддон масляный АКПП с интегрированным фильтром,другая деталь,True
Поддон масляный АКПП с фильтрующим элементом,другая деталь,True
Поддон масляный АКПП с фильтром-вставкой,другая деталь,True
Поддон масляный АКПП с фильтрацией масла.,другая деталь,True
Пустотелый винт с фильтром,другая деталь,True
Пустотелый винт с фильтрующим элементом,другая деталь,True
Пустотелый винт с фильтрующей вставкой,другая деталь,True
Пустотелый винт с фильтровальным элементом,другая деталь,True
Пустотелый винт с фильтровальной вставкой.,другая деталь,True
 топливный насос с фильтрующим элементом,другая деталь,True
Глушитель с сажевым фильтром,другая деталь,True
 Глушитель с фильтром твёрдых частиц,другая деталь,True
 Глушитель с DPF-фильтром,другая деталь,True
 Глушитель с FAP-фильтром,другая деталь,True
Резиновый раструб с фильтром,другая деталь,True
 Резиновый наконечник с фильтром,другая деталь,True
 Резиновый мундштук с фильтром,другая деталь,True
 Резиновый раструб с фильтрующим элементом,другая деталь,True
 Резиновый наконечник с фильтрующим элементом.,другая деталь,True
Бензонасос модуль с фильтром и датчиком уровня,другая деталь,True
 бензонасос блок с фильтром и датчиком уровня,другая деталь,True
 бензонасос узел с фильтром и датчиком уровня,другая деталь,True
 бензонасос система с фильтром и датчиком уровня,другая деталь,True
 бензонасос агрегат с фильтром и датчиком уровня.,другая деталь,True
Поддон коробки передач с фильтром,другая деталь,True
Поддон АКПП с фильтрующим элементом,другая деталь,True
Поддон трансмиссии с фильтрующим элементом.,другая деталь,True
Поддон с фильтром автоматической коробки передач,другая деталь,True
Поддон с фильтром трансмиссии,другая деталь,True
Поддон с фильтром-автомата,другая деталь,True
Поддон с фильтром-коробки,другая деталь,True
Поддон с фильтром-трансмисcии.,другая деталь,True
Корпус поддона с фильтром,другая деталь,True
 корпус поддона с фильтрующим элементом,другая деталь,True
 корпус поддона с системой фильтрации,другая деталь,True
 корпус поддона с фильтрационным механизмом.,другая деталь,True
Корпус масляного фильтра,другая деталь,True
Насос топливный (мотор) с фильтром,другая деталь,True
 Насос топливный (мотор) с фильтрующим элементом,другая деталь,True
 Насос топливный (мотор) с фильтрационной установкой.,другая деталь,True
 насос с фильтром,другая деталь,True
Радиатор масляный (теплообменник) с фильтром,другая деталь,True
 масляный радиатор (теплообменник) с фильтром,другая деталь,True
 масляный радиатор (теплообменник) с системой фильтрации,другая деталь,True
 масляный радиатор (теплообменник) с фильтрующим элементом.,другая деталь,True
 корпус фильтра с фильтром,другая деталь,True
 корпус фильтра с фильтрующим элементом,другая деталь,True
Корпус с фильтром в сборе,другая деталь,True
 корпус с фильтром,другая деталь,True
 корпус в сборе с фильтром,другая деталь,True
Газовый трубопровод с фильтром,другая деталь,True
 газовый трубопровод с устройством фильтрации,другая деталь,True
Поддон масляный АКПП с фильтром,другая деталь,True
Полый болт с фильтром,другая деталь,True
 полый болт с фильтрующим элементом,другая деталь,True
 полый болт с фильтрующей вставкой,другая деталь,True
 полый болт с фильтровальным элементом,другая деталь,True
 полый болт с фильтровальной вставкой.,другая деталь,True
Корпус масляного фильтра с охладителем и фильтром,другая деталь,True
 фильтр с охладителем,другая деталь,True
Масляный насос с фильтром,другая деталь,True
 Масляный насос с системой фильтрации,другая деталь,True
 Масляный насос с элементом фильтрации,другая деталь,True
 Масляный насос с фильтрующим устройством.,другая деталь,True
масляный поддон с масляным фильтром,другая деталь,True
 масляный поддон с фильтром масла,другая деталь,True
 масляный поддон с маслофильтром,другая деталь,True
Бак топливный с трубками и фильтром тонкой очистки топлива в сборе,другая деталь,True
 Бак топливный с трубками и фильтром грубой очистки топлива в сборе,другая деталь,True
 Бак топливный с трубками и фильтром-отстойником в сборе,другая деталь,True
 Бак топливный с трубками и фильтром-сепаратором в сборе,другая деталь,True
 Бак топливный с трубками и фильтром-элементом в сборе.,другая деталь,True
 Двигатель без генератора с фильтром пыли,другая деталь,True
 Двигатель без генератора с фильтром грязи,другая деталь,True
 Двигатель без генератора с фильтром сажи,другая деталь,True
 Двигатель без генератора с фильтром дыма.,другая деталь,True
 Фланец с фильтром для топлива,другая деталь,True
 Фланец с фильтрующим элементом для топлива,другая деталь,True
 Фланец с фильтрующей вставкой для топлива.,другая деталь,True
"Трубка, в сборе, выхлопная, передняя с фильтром частиц, заменённый",другая деталь,True
"Трубка в сборе, выхлопная передняя с фильтром частиц, Vauxhall, новая замена",другая деталь,True
Насос топливный со встроенным фильтром,другая деталь,True
 насос топливный с фильтром,другая деталь,True
 насос топливный с фильтрующим элементом,другая деталь,True
 насос топливный с фильтрацией,другая деталь,True
Поддон передач с фильтром.,другая деталь,True
насос топливный электрический с фильтром,другая деталь,True
бензонасос электрический погружной с фильтром,другая деталь,True
 бензонасос электрический погружной со встроенным фильтром,другая деталь,True
 бензонасос электрический погружной с фильтрующим элементом,другая деталь,True
 бензонасос электрический погружной с фильтрацией,другая деталь,True
 бензонасос электрический погружной с системой фильтрации.,другая деталь,True
Бачок насоса ГУР с крышкой и фильтром,другая деталь,True
 Бачок насоса ГУР с крышкой и фильтрующим элементом,другая деталь,True
 Бачок насоса ГУР с крышкой и системой фильтрации.,другая деталь,True
Насос со встроенным топливным фильтром,другая деталь,True
 Насос со встроенным фильтром топлива,другая деталь,True
 Насос с интегрированным фильтром горючего,другая деталь,True
 Насос с внутренним топливным фильтром,другая деталь,True
 Насос с топливным фильтром внутри.,другая деталь,True
Поддон АКПП в сборе с фильтром и прокладкой,другая деталь,True
Поддон АКПП в сборе с фильтроэлементом и прокладкой,другая деталь,True
Поддон АКПП в сборе с фильтровальным элементом и прокладкой,другая деталь,True
Поддон АКПП в сборе с фильтровочным элементом и прокладкой,другая деталь,True
Поддон АКПП в сборе с фильтрующим элементом и прокладкой.,другая деталь,True
поддон автоматической коробки передач с фильтром,другая деталь,True
поддон трансмиссии с фильтром,другая деталь,True
поддон КПП с фильтром,другая деталь,True
поддон коробки-автомат с фильтром,другая деталь,True
поддон передач с фильтром.,другая деталь,True
Фланец топливного бака с фильтром левый,другая деталь,True
 Фланец топливного бака с фильтром для левой стороны,другая деталь,True
 Фланец топливного бака с фильтром слева,другая деталь,True
 Фланец топливного бака с фильтром для левой части,другая деталь,True
 Фланец топливного бака с фильтром с левой стороны.,другая деталь,True
Узел подачи с интегрированным насосом и фильтром,другая деталь,True
Узел подачи с встроенным насосом и фильтровальным элементом,другая деталь,True
Узел подачи с насосом и фильтровальной системой,другая деталь,True
Узел подачи с насосом и фильтрационным устройством,другая деталь,True
Узел подачи с насосом и фильтрационным блоком.,другая деталь,True
Маслоохладитель с фильтром масла,другая деталь,True
 Маслоохладитель с фильтром для масла,другая деталь,True
Подкачивающий насос с фильтром грубой очистки,другая деталь,True
 Подкачивающий насос с фильтром грубого помола,другая деталь,True
 Подкачивающий насос с фильтром грубого отсева,другая деталь,True
 Подкачивающий насос с фильтром грубого разделения,другая деталь,True
 Подкачивающий насос с фильтром грубого просеивания.,другая деталь,True
расширительный бачок с угольным фильтром,другая деталь,True
расширительный бачок с фильтром из активированного угля,другая деталь,True
"расширительный бачок с фильтром, содержащим активированный уголь.",другая деталь,True
Шланг с фильтром жидкости для АКПП,другая деталь,True
 шланг с фильтром для автоматической коробки передач,другая деталь,True
 шланг с фильтром для трансмиссии,другая деталь,True
 шланг с фильтром для АКП,другая деталь,True
 шланг с фильтром для коробки-автомата.,другая деталь,True
Соединение электромагнитного клапана с воздушным фильтром,другая деталь,True
Соединение электромагнитного клапана с воздушным префильтром,другая деталь,True
Крышка корпуса с фильтром первичной очистки,другая деталь,True
Крышка корпуса с фильтром предварительной очистки,другая деталь,True
Крышка корпуса с фильтром базовой очистки,другая деталь,True
Крышка корпуса с фильтром начальной очистки,другая деталь,True
Крышка корпуса с фильтром грубого очищения.,другая деталь,True
 Радиатор масляный с фильтрующим элементом,другая деталь,True
 Радиатор масляный с системой фильтрации,другая деталь,True
 Радиатор масляный с фильтрационной установкой.,другая деталь,True
Патрубок маслозаборный в сборе с сетчатым фильтром,другая деталь,True
 Патрубок маслозаборный в сборе с фильтром-сеткой,другая деталь,True
 Патрубок маслозаборный в сборе с фильтром-ситом,другая деталь,True
 Патрубок маслозаборный в сборе с фильтровальной сеткой,другая деталь,True
 Патрубок маслозаборный в сборе с фильтрующим элементом.,другая деталь,True
Трубка приемная топливного бака с фильтром в сборе,другая деталь,True
Трубка топливного бака с фильтром,другая деталь,True
Трубка топливного бака с фильтрующим элементом,другая деталь,True
Трубка топливного бака с фильтровальной системой,другая деталь,True
Топливный фильтр.,другая деталь,True
Каталитический нейтрализатор с сажевым фильтром,другая деталь,True
 Каталитический нейтрализатор с фильтром для сажи,другая деталь,True
 Катализатор с сажевым фильтром,другая деталь,True
 Каталитический нейтрализатор с фильтром для частиц сажи.,другая деталь,True
трубопровод от топливного бака к фильтру,другая деталь,True
 трубопровод от бака к фильтру,другая деталь,True
 трубопровод от бака к фильтрующему устройству,другая деталь,True
 трубопровод от бензобака к фильтру,другая деталь,True
 трубопровод от бензобака к фильтрующему элементу,другая деталь,True
 подставка модуля управления датчика сажевого фильтра.,другая деталь,True
Трубопровод от фильтра к топливному насосу высокого давления,другая деталь,True
Трубопровод от фильтра к насосу высокого давления,другая деталь,True
Трубопровод от фильтра к топливному насосу,другая деталь,True
Трубопровод от фильтра к двигателю.,другая деталь,True
Трубка от топливного фильтра,другая деталь,True
 трубка от фильтра топлива,другая деталь,True
Маслоохладитель без масляного фильтра,другая деталь,True
 Маслоохладитель без фильтра масла,другая деталь,True
 Маслоохладитель без фильтрации масла,другая деталь,True
 Маслоохладитель без масляного фильтрационного устройства,другая деталь,True
"Трубка в сборе, выхлопная передняя с фильтром частиц, Opel, новая замена",другая деталь,True
"Передняя выхлопная трубка с фильтром частиц, Opel, новая замена",другая деталь,True
"Трубка выхлопная передняя с фильтром частиц, Opel, новая",другая деталь,True
